index,date,account_name,amount,message,vs,name
0,2025-01-31,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
1,2025-01-31,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
2,2025-01-31,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
3,2024-12-31,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
4,2024-12-31,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
5,2024-12-31,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
6,2024-11-30,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
7,2024-11-30,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
8,2024-11-30,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
9,2024-10-31,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
10,2024-10-31,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
11,2024-10-31,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
12,2024-09-30,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
13,2024-09-30,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
14,2024-09-30,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
15,2024-08-31,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
16,2024-08-31,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
17,2024-08-31,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
18,2024-07-31,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
19,2024-07-31,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
20,2024-07-31,,-10.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
21,2024-06-30,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
22,2024-06-30,,-6.0,Poplatok za vedenie účtu,,Peter Pellegrini
23,2024-06-30,,-8.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
24,2024-05-31,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
25,2024-05-31,,-8.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
26,2024-05-27,Creo,-9000.0,"Uhrada faktury VS:232405001, za kampaňový tím, správu soc. media, fotografa",232405001.0,Peter Pellegrini
27,2024-05-27,Creo,-48336.0,"Uhrada faktury VS:232403004, za ooh kampaň v mesiaci marec",232403004.0,Peter Pellegrini
28,2024-05-10,Creo,-44400.0,"Uhrada faktury VS:232405002, za tlac a distribuciu volebnych novin c.2",232405002.0,Peter Pellegrini
29,2024-05-02,,-12.18,"B1795157285-44544 12** **** 5031;GOOGLE *ADS9014062737 ,cc@google.com ,IE ;01.05.2024 18:01:22 ;CashBack:0 EUR",,Peter Pellegrini
30,2024-04-30,,-5.0,Zverejňovanie účtu,,Peter Pellegrini
31,2024-04-30,,-8.0,"Vedenie Platobnej karty embosovanej,2316,5,Karta č. 4544 12** **** 5031Poplatok za Platobnú kartu",,Peter Pellegrini
32,2024-04-18,,-454.15,"B1783573630-44544 12** **** 5031;FACEBK NSHFWZTA42 ,fb.me/ads ,IE ;17.04.2024 10:16:53 ;CashBack:0 EUR",,Peter Pellegrini
33,2024-04-17,Creo,-84840.0,"Uhrada faktury VS:232403003, za ooh kampaň v mesiaci február",232403003.0,Peter Pellegrini
34,2024-04-10,Creo,-3180.0,"Uhrada faktury VS:232403006, za inzerciu v rozhlase",232403006.0,Peter Pellegrini
35,2024-04-10,HLAS - sociálna demokracia,250000.0,prevod Pellegrini - prezident. volby,,Peter Pellegrini
36,2024-04-10,Creo,-17388.0,"Uhrada faktury VS:232403005, za tvorbu online a TV spotu",232403005.0,Peter Pellegrini
37,2024-04-10,Freedom Factory,-9970.4,"Úhrada faktúry: 20240003, za zabezpečenie eventu 2.4.2024 v Novom Meste nad Váhom",20240003.0,Peter Pellegrini
38,2024-04-10,Creo,-1920.0,"Uhrada faktury VS:232403008, za prenájom lietadla",232403008.0,Peter Pellegrini
39,2024-04-10,Creo,-960.0,"Uhrada faktury VS:232403009, za usporiadanie podujatia 27.3. Kráľovský Chlmec",232403009.0,Peter Pellegrini
40,2024-04-10,Creo,-35400.0,"Uhrada faktury VS:232403010, za nákup mediálneho priestoru v TV",232403010.0,Peter Pellegrini
41,2024-04-10,Creo,-14160.0,"Uhrada faktury VS:232403007, za tlač a distribúciu vilebných novín č.2",232403007.0,Peter Pellegrini
42,2024-04-10,Freedom Factory,-14669.76,"Úhrada faktúry: 20240004, za zabezpečenie eventu 3.4.2024 v Bratislave",20240004.0,Peter Pellegrini
43,2024-04-04,,-900.0,"B1772171261-44544 12** **** 5031;FACEBK S4VWDZTA42 ,fb.me/ads ,IE ;03.04.2024 21:02:12 ;CashBack:0 EUR",,Peter Pellegrini
44,2024-04-04,,-900.0,"B1772170234-44544 12** **** 5031;FACEBK JCCVBY7B42 ,fb.me/ads ,IE ;03.04.2024 19:27:24 ;CashBack:0 EUR",,Peter Pellegrini
45,2024-04-04,,-900.0,"B1772132891-44544 12** **** 5031;FACEBK 8C9E8ZTB42 ,fb.me/ads ,IE ;03.04.2024 15:54:50 ;CashBack:0 EUR",,Peter Pellegrini
